"id","name","age","gender","email","phone","occupation","education","incomeRange","tiktokUsage","tiktokShopUsage","lastPurchase","createdAt"
"cmoecyoy2001qf1jco9nw7ogf","Cahyo Pakpahan",42,"Laki-laki","cahyo.pakpahan95@outlook.com","088287282863","Atlet","D2","> 10jt",2,2,"2023-12-30T14:06:10.459Z","2026-04-25T13:11:26.667Z"
"cmoecyoy9001rf1jcknettfqa","Nugroho Kusuma",37,"Laki-laki","nugroho.kusuma11@gmail.com","088372829110","Petani","D3","< 3jt",5,1,"2023-10-12T01:28:27.550Z","2026-04-25T13:11:26.673Z"
"cmoecyoyf001sf1jczotnnqda","Lina Pangaribuan",49,"Perempuan","lina.pangaribuan62@outlook.com","088845328782","Marketing","D3","> 10jt",4,2,"2024-01-24T18:19:23.192Z","2026-04-25T13:11:26.680Z"
"cmoecyoza001tf1jc9g8k63w4","Surya Purba",26,"Laki-laki","surya.purba74@hotmail.com","085544752571","Pegawai Swasta","D1","> 10jt",4,1,"2024-01-10T03:27:10.598Z","2026-04-25T13:11:26.710Z"
"cmoecyozj001uf1jcgappmvlx","Tika Sitorus",34,"Perempuan","tika.sitorus5@yahoo.com","081208181687","Programmer","D2","> 10jt",1,1,"2023-11-09T11:55:06.787Z","2026-04-25T13:11:26.719Z"
"cmoecyozu001vf1jc9ka5qqsn","Rahma Sinaga",48,"Perempuan","rahma.sinaga61@outlook.com","085288372784","Makeup Artist","D3","3-5jt",1,4,"2023-07-04T10:04:32.983Z","2026-04-25T13:11:26.730Z"
"cmoecyp02001wf1jckejn3z3s","Ahmad Peranginangin",19,"Laki-laki","ahmad.peranginangin39@outlook.com","081874962781","Buruh","D2","< 3jt",2,5,"2023-08-09T18:11:59.863Z","2026-04-25T13:11:26.738Z"
"cmoecyp0a001xf1jcjwq8bgie","Galih Ginting",27,"Laki-laki","galih.ginting42@ymail.com","088249523918","Programmer","SMA","> 10jt",2,3,"2024-01-03T09:45:08.026Z","2026-04-25T13:11:26.746Z"
"cmoecyp0g001yf1jcph9tymxo","Haris Ginting",26,"Laki-laki","haris.ginting30@ymail.com","088848233391","Jurnalis","D1","> 10jt",5,1,"2023-09-02T08:17:47.856Z","2026-04-25T13:11:26.752Z"
"cmoecyp0m001zf1jczkyxyqg7","Tri Silalahi",40,"Laki-laki","tri.silalahi81@yahoo.com","081827381850","Nelayan","SMA","> 10jt",1,3,"2023-11-22T08:17:55.156Z","2026-04-25T13:11:26.759Z"
